Ticker,Company,Industry,Headquarter,Date added to SP500,Founded,,
ATVI,Activision Blizzard,Communication Services,California,8/31/15,2008,27,
CHTR,Charter Communications,Communication Services,Connecticut,9/8/16,1993,,
CMCSA,Comcast,Communication Services,Pennsylvania,11/19/02,1963,,
DIS,The Walt Disney Company,Communication Services,California,6/30/76,1923,,
DISCA,Discovery (Series A),Communication Services,New York,3/1/10,1985,,
DISCK,Discovery (Series C),Communication Services,New York,8/7/14,1985,,
DISH,Dish Network,Communication Services,Colorado,3/13/17,1980,,
EA,Electronic Arts,Communication Services,California,7/22/02,1982,,
FB,Meta Platforms,Communication Services,California,12/23/13,2004,,
FOX,Fox Corporation (Class B),Communication Services,New York,9/18/15,2019,,
FOXA,Fox Corporation (Class A),Communication Services,New York,7/1/13,2019,,
GOOG,Alphabet (Class C),Communication Services,California,4/3/06,1998,,
GOOGL,Alphabet (Class A),Communication Services,California,4/3/14,1998,,
IPG,Interpublic Group,Communication Services,New York,10/1/92,1930,,
LUMN,Lumen Technologies,Communication Services,Louisiana,3/25/99,1877,,
LYV,Live Nation Entertainment,Communication Services,California,12/23/19,2010,,
MTCH,Match Group,Communication Services,Texas,9/20/21,1986,,
NFLX,Netflix,Communication Services,California,12/20/10,1997,,
NWS,News Corp (Class B),Communication Services,New York,9/18/15,1980,,
NWSA,News Corp (Class A),Communication Services,New York,8/1/13,1980,,
OMC,Omnicom Group,Communication Services,New York,,1986,,
T,AT&T,Communication Services,Texas,1983-11-30 (1957-03-04),1885,,
TMUS,T-Mobile US,Communication Services,Washington,7/15/19,1994,,
TTWO,Take-Two Interactive,Communication Services,New York,3/19/18,1993,,
TWTR,Twitter,Communication Services,California,6/7/18,2006,,
VIAC,ViacomCBS,Communication Services,New York,,1952,,
VZ,Verizon Communications,Communication Services,New York,11/30/83,1877,,
AAP,Advance Auto Parts,Consumer Discretionary,North Carolina,7/9/15,1932,63,
AMZN,Amazon,Consumer Discretionary,Washington,11/18/05,1994,,
APTV,Aptiv,Consumer Discretionary,Ireland,12/24/12,1994,,
AZO,AutoZone,Consumer Discretionary,Tennessee,1/2/97,1979,,
BBWI,Bath & Body Works,Consumer Discretionary,Ohio,9/30/83,1963,,
BBY,Best Buy,Consumer Discretionary,Minnesota,6/29/99,1966,,
BKNG,Booking Holdings,Consumer Discretionary,Connecticut,11/6/09,1996,,
BWA,BorgWarner,Consumer Discretionary,Michigan,12/19/11,1880,,
CCL,Carnival Corporation,Consumer Discretionary,Florida,12/22/98,1972,,
CMG,Chipotle Mexican Grill,Consumer Discretionary,California,4/28/11,1993,,
CZR,Caesars Entertainment,Consumer Discretionary,Nevada,3/22/21,1973,,
DG,Dollar General,Consumer Discretionary,Tennessee,12/3/12,1939,,
DHI,D. R. Horton,Consumer Discretionary,Texas,6/22/05,1978,,
DLTR,Dollar Tree,Consumer Discretionary,Virginia,12/19/11,1986,,
DPZ,Domino's Pizza,Consumer Discretionary,Michigan,5/12/20,1960,,
DRI,Darden Restaurants,Consumer Discretionary,Florida,,1938,,
EBAY,eBay,Consumer Discretionary,California,7/22/02,1995,,
ETSY,Etsy,Consumer Discretionary,New York,9/21/20,2005,,
EXPE,Expedia Group,Consumer Discretionary,Washington,10/2/07,1996,,
F,Ford,Consumer Discretionary,Michigan,3/4/57,1903,,
GM,General Motors,Consumer Discretionary,Michigan,6/6/13,1908,,
GPC,Genuine Parts,Consumer Discretionary,Georgia,12/31/73,1925,,
GPS,Gap,Consumer Discretionary,California,8/31/86,1969,,
GRMN,Garmin,Consumer Discretionary,Switzerland,12/12/12,1989,,
HAS,Hasbro,Consumer Discretionary,Rhode Island,9/30/84,1923,,
HBI,Hanesbrands,Consumer Discretionary,North Carolina,3/20/15,2000,,
HD,Home Depot,Consumer Discretionary,Georgia,3/31/88,1978,,
HLT,Hilton Worldwide,Consumer Discretionary,Virginia,6/19/17,1919,,
KMX,CarMax,Consumer Discretionary,Virginia,6/28/10,1993,,
LEG,Leggett & Platt,Consumer Discretionary,Missouri,10/14/99,1883,,
LEN,Lennar,Consumer Discretionary,Florida,10/4/05,1954,,
LKQ,LKQ Corporation,Consumer Discretionary,Illinois,5/23/16,1998,,
